symbol,1.0.0,1.2.0,1.3.0,1.4.0
_ZN2MR12isSensorTypeEPK9HitSensorm,0x000D9E30,0x000D9E60,0x000D95B0,0x000DA320
_ZN23ActorStateBaseInterface4initEv,0x0012D364,0x0012D774,0x0012D1D4,0x0012DC94
_ZN23ActorStateBaseInterface7controlEv,0x0012D648,0x0012DA58,0x0012D4B8,0x0012DF78
_ZN13EventFunction17isStartCometEventEPKc,0x001386E0,0x00138AF0,0x00138550,0x00139010
_ZN9LiveActorC1EPKc,0x0015C6C8,0x0015CCA8,0x0015C708,0x0015D338
_ZN9LiveActor4initERK12JMapInfoIter,0x0015C76C,0x0015CD4C,0x0015C7AC,0x0015D3DC
_ZN9LiveActor6appearEv,0x0015C770,0x0015CD50,0x0015C7B0,0x0015D3E0
_ZN9LiveActor17makeActorAppearedEv,0x0015C77C,0x0015CD5C,0x0015C7BC,0x0015D3EC
_ZN9LiveActor4killEv,0x0015C81C,0x0015CDFC,0x0015C85C,0x0015D48C
_ZN9LiveActor13makeActorDeadEv,0x0015C870,0x0015CE50,0x0015C8B0,0x0015D4E0
_ZN9LiveActor8movementEv,0x0015C8E8,0x0015CEC8,0x0015C928,0x0015D558
_ZN9LiveActor8calcAnimEv,0x0015CA48,0x0015D028,0x0015CA88,0x0015D6B8
_ZN9LiveActor10calcAnmMtxEv,0x0015CABC,0x0015D09C,0x0015CAFC,0x0015D72C
_ZN9LiveActor16calcViewAndEntryEv,0x0015CB0C,0x0015D0EC,0x0015CB4C,0x0015D77C
_ZN9LiveActor14receiveMessageEjP9HitSensorS1_,0x0015CB24,0x0015D104,0x0015CB64,0x0015D794
_ZN9LiveActor17calcAndSetBaseMtxEv,0x0015CB78,0x0015D158,0x0015CBB8,0x0015D7E8
_ZNK9LiveActor12getTakingMtxEv,0x0015CC14,0x0015D1F4,0x0015CC54,0x0015D884
_ZN9LiveActor8setNerveEPK5Nerve,0x0015CC20,0x0015D200,0x0015CC60,0x0015D890
_ZNK9LiveActor7isNerveEPK5Nerve,0x0015CC28,0x0015D208,0x0015CC68,0x0015D898
_ZNK9LiveActor12getNerveStepEv,0x0015CC54,0x0015D234,0x0015CC94,0x0015D8C4
_ZNK9LiveActor9getSensorEPKc,0x0015CC60,0x0015D240,0x0015CCA0,0x0015D8D0
_ZNK9LiveActor10getBaseMtxEv,0x0015CC70,0x0015D250,0x0015CCB0,0x0015D8E0
_ZN9LiveActor12startClippedEv,0x0015CCA0,0x0015D280,0x0015CCE0,0x0015D910
_ZN9LiveActor10endClippedEv,0x0015CD00,0x0015D2E0,0x0015CD40,0x0015D970
_ZN9LiveActor23initModelManagerWithAnmEPKcPKcPKcb,0x0015CD64,0x0015D344,0x0015CDA4,0x0015D9D4
_ZN9LiveActor9initNerveEPK5Nervel,0x0015CE0C,0x0015D3EC,0x0015CE4C,0x0015DA7C
_ZN9LiveActor13initHitSensorEl,0x0015CE58,0x0015D438,0x0015CE98,0x0015DAC8
_ZN9LiveActor10initBinderEffm,0x0015CE98,0x0015D478,0x0015CED8,0x0015DB08
_ZN9LiveActor13initRailRiderERK12JMapInfoIter,0x0015CF38,0x0015D518,0x0015CF78,0x0015DBA8
_ZN9LiveActor16initEffectKeeperElPKcb,0x0015CF78,0x0015D558,0x0015CFB8,0x0015DBE8
_ZN9LiveActor9initSoundElPKcNPK9JGeometry5TVec3IfEENRK9JGeometry5TVec3IfEE,0x0015D020,0x0015D600,0x0015D060,0x0015DC90
_ZN9LiveActor24initShadowControllerListEm,0x0015D088,0x0015D668,0x0015D0C8,0x0015DCF8
_ZN9LiveActor23initActorCollisionPartsEPKcP9HitSensorP14ResourceHolderPA4_fbb,0x0015D0CC,0x0015D6AC,0x0015D10C,0x0015DD3C
_ZN9LiveActor15initStageSwitchERK12JMapInfoIter,0x0015D1C0,0x0015D7A0,0x0015D200,0x0015DE30
